Tsi,Tbox,X,Y
3056.15,7261.76,-110.5959375,49.153875
3055.04,7270.64,-98.308125,49.153875
3055.5,7265.69,-86.019375,49.153875
3054.8,7270.5,-73.73090625,49.153875
3053.27,7274.7,-61.4424375,49.153875
3056.53,7264.8,-49.153875,49.153875
3055.2,7266.95,-36.86540625,49.153875
3054.32,7270.65,-24.5769375,49.153875
3055.82,7268.65,-12.28846875,49.153875
3053.85,7268.02,0,49.153875
3053.66,7270.93,12.28846875,49.153875
3053.47,7271.78,24.5769375,49.153875
3054.6,7272.64,36.86540625,49.153875
3054.56,7271.38,49.153875,49.153875
3055.37,7267.29,61.4424375,49.153875
3055.61,7267.3,73.73090625,49.153875
3054.61,7270.57,86.019375,49.153875
3055.37,7269.34,98.308125,49.153875
3052.4,7271.89,110.5959375,49.153875
3055.24,7269.79,122.8846875,49.153875
3056.33,7264.13,135.1734375,49.153875
3052.89,7272.92,135.1734375,61.4424375
3055.5,7271,122.8846875,61.4424375
3055.32,7270.26,110.5959375,61.4424375
3055.62,7266.42,98.308125,61.4424375
3053.94,7270.02,86.019375,61.4424375
3053.87,7270.81,73.73090625,61.4424375
3055.2,7268.24,61.4424375,61.4424375
3054.61,7267.4,49.153875,61.4424375
3055.41,7269.47,36.86540625,61.4424375
3054.04,7274.36,24.5769375,61.4424375
3054.44,7270.79,12.28846875,61.4424375
3056.21,7264.06,0,61.4424375
3052.59,7273.75,-12.28846875,61.4424375
3054.96,7272.34,-24.5769375,61.4424375
3054.47,7270.16,-36.86540625,61.4424375
3055.93,7269.57,-49.153875,61.4424375
3051.81,7274.6,-61.4424375,61.4424375
3054.98,7267.24,-73.73090625,61.4424375
3055.23,7267.03,-86.019375,61.4424375
3055.33,7268.87,-98.308125,61.4424375
3055.63,7267.23,-110.5959375,61.4424375
3056.36,7268.34,-122.8846875,61.4424375
3051.47,7274.61,-135.1734375,61.4424375
3056.14,7267.11,-122.8846875,73.73090625
3054.12,7263.89,-110.5959375,73.73090625
3053.75,7268.38,-98.308125,73.73090625
3055.11,7271.13,-86.019375,73.73090625
3055.5,7271.51,-73.73090625,73.73090625
3056.27,7267.66,-61.4424375,73.73090625
3055.9,7269.25,-49.153875,73.73090625
3055.55,7268.26,-36.86540625,73.73090625
3054.84,7268.56,-24.5769375,73.73090625
3053.48,7270.35,-12.28846875,73.73090625
3056.61,7268.89,0,73.73090625
3053.57,7272.11,12.28846875,73.73090625
3054.59,7273.12,24.5769375,73.73090625
3055.51,7267.87,36.86540625,73.73090625
3056.26,7264.33,49.153875,73.73090625
3055.94,7265.84,61.4424375,73.73090625
3055.85,7269.03,73.73090625,73.73090625
3057.75,7262.43,86.019375,73.73090625
3054.8,7264.15,98.308125,73.73090625
3055.05,7267.58,110.5959375,73.73090625
3053.88,7269.72,122.8846875,73.73090625
3056.05,7271.49,122.8846875,86.019375
3054.58,7270.77,110.5959375,86.019375
3054.18,7262.8,98.308125,86.019375
3058.15,7263.76,86.019375,86.019375
3055.77,7270.1,73.73090625,86.019375
3053.85,7267.66,61.4424375,86.019375
3055.57,7262.96,49.153875,86.019375
3054.77,7266.16,36.86540625,86.019375
3057,7267.65,24.5769375,86.019375
3054.66,7271.46,12.28846875,86.019375
3053.48,7270.01,0,86.019375
3056.78,7265,-12.28846875,86.019375
3054.97,7265.82,-24.5769375,86.019375
3055.69,7266.51,-36.86540625,86.019375
3055.09,7268.51,-49.153875,86.019375
3055.97,7273.25,-61.4424375,86.019375
3053.34,7277.6,-73.73090625,86.019375
3055.25,7272.76,-86.019375,86.019375
3056.87,7269.94,-98.308125,86.019375
3057.4,7258.86,-110.5959375,86.019375
3054.03,7267.96,-122.8846875,86.019375
3056.52,7260.05,-110.5959375,98.308125
3053.83,7271.94,-98.308125,98.308125
3054.72,7273.25,-86.019375,98.308125
3052.06,7278.65,-73.73090625,98.308125
3052.87,7274.88,-61.4424375,98.308125
3054.31,7268.07,-49.153875,98.308125
